ad_id,company,title,city,top_match_experience,top_match_score,matched_skills,url
1643251,Rietumu Banka AS,Sankciju kontrolieris/-e Finanšu noziegumu novēršanas pārvalde,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,0,,https://www.cv.lv/lv/vacancy/1643251
1640043,Rietumu Banka AS,Grāmatvedības datu analītikas nodaļas vadītājs/-a (darbs ar regulāciju pārskatu funkciju vadīšanu),Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,0,,https://www.cv.lv/lv/vacancy/1640043
1645692,BluOr Bank AS,IKT risku analītiķis/-e,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,0,,https://www.cv.lv/lv/vacancy/1645692
1644204,If P&C Insurance AS Latvijas filiāle,Data Enablement Engineer,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,1,data modelling; data reconciliation,https://www.cv.lv/lv/vacancy/1644204
1641288,Magnetiq Bank AS,Datu bāzu administrators/-e,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,0,,https://www.cv.lv/lv/vacancy/1641288
1641596,Eleving Group,Database Administrator,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,1,,https://www.cv.lv/lv/vacancy/1641596
1638983,Eleving Consumer Finance AS,Senior Data Engineer,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,1,data modelling; data reconciliation,https://www.cv.lv/lv/vacancy/1638983
1635752,Epic Frog,Data Engineer,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,1,data modelling; data reconciliation,https://www.cv.lv/lv/vacancy/1635752
1633382,Atea Global Services,Data Engineer,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,1,data modelling; data reconciliation,https://www.cv.lv/lv/vacancy/1633382
1632570,Visidarbi.lv klients,B2B SaaS Business Development Manager/ Biznesa attīstības vadītājs/-a,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,3,,https://www.cv.lv/lv/vacancy/1632570
1631597,Evolution Latvia SIA,Datu zinātnieks / Data Scientist (Risk and fraud detection / ML),Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,1,data modelling; data reconciliation,https://www.cv.lv/lv/vacancy/1631597
1645546,If P&C Insurance AS Latvijas filiāle,Business Requirements Analyst / Quality Assurance Specialist,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,2,,https://www.cv.lv/lv/vacancy/1645546
1645687,SEB,"Senior IT Analyst/ Vecākais(-ā) IT analītiķis(-e) in Corporate Lending Team | SEB, Riga",Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,1,,https://www.cv.lv/lv/vacancy/1645687
1633293,Cabot Latvia SIA,EMEA Regional Finance Business Partner - EMEA Reģionālais Finanšu Biznesa Partneris/-e,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,2,,https://www.cv.lv/lv/vacancy/1633293
1641559,Mintos,Senior AML Analyst (Legal Entities EDDs),Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,1,,https://www.cv.lv/lv/vacancy/1641559
1647803,WorkingDay Latvia,Statistikas pārskatu sagatavošanas speciālists/-e,Rīga,Business Data Analyst | HR and Financial Reporting @ AS CleanR Grupa,0,,https://www.cv.lv/lv/vacancy/1647803
1644051,Elva Baltic SIA,Sistēmanalītiķis/-e,Rīga,Supply Chain Manager | Customer Service and Logistics Team Lead @ SIA Lofbergs Baltic,1,,https://www.cv.lv/lv/vacancy/1644051
